year,B_trades,B_win_rate,B_netR,B_avgR,B_net_dollars,B_PF,B_maxDD_R,B_avg_win_R,B_avg_loss_R,C_trades,C_win_rate,C_netR,C_avgR,C_net_dollars,C_PF,C_maxDD_R,C_avg_win_R,C_avg_loss_R
2008,224,41.964285714285715,25.046386853468924,0.11181422702441483,4105.0,1.1071661662968282,-13.905106051508298,1.5614866568048713,-0.9364104529706844,102,33.33333333333333,-11.298411502488685,-0.11076874022047731,-2920.0,0.6132450331125828,-15.472614767929803,0.6627762211145244,-0.49754122088797803
2009,214,36.44859813084112,-33.42567729091277,-0.1561947536958541,-8915.0,0.6908271198196636,-49.7416226087079,1.118813680964216,-0.8940232918971973,90,24.444444444444443,-29.13511355439906,-0.32372348393776734,-3370.0,0.2585258525852585,-31.18082784011334,0.3781507965272256,-0.5508004570293827
2010,216,42.129629629629626,-14.581357776043234,-0.06750628600020016,-3505.0,0.8592934564431955,-25.40409200657614,1.078651761695687,-0.9091828071802479,92,36.95652173913043,-6.6817924828983655,-0.07262817916193876,-730.0,0.8181818181818182,-10.783237369328807,0.667520927985953,-0.5245982863289421
2011,225,42.22222222222222,-1.9800237937616494,-0.008800105750051775,-625.0,0.9804167319442268,-21.350697909716878,1.3118824406466216,-0.9891316848061773,104,37.5,-8.874713189899918,-0.0853337806721146,-690.0,0.8736263736263736,-14.732538686711145,0.709080296779947,-0.5891749155535136
2012,220,40.909090909090914,-3.330441346715408,-0.015138369757797308,280.0,1.0102451518477864,-20.947923399064734,1.284687027718659,-0.9221106499332924,99,34.34343434343434,-5.847974619213533,-0.05907045069912659,-795.0,0.8518173345759553,-13.057918963311776,0.9472593099281736,-0.5946061118245537
2013,212,38.20754716981132,-6.6866910883788835,-0.0315409956999004,-2475.0,0.9057142857142857,-24.671170648143832,1.3112966061323192,-0.861845161718296,106,31.132075471698112,-16.07398437779401,-0.15164136205466047,-2015.0,0.6233644859813084,-21.132547318406814,0.7066593299379825,-0.5793197392021683
2014,216,41.2037037037037,-7.090805283949716,-0.03282780224050794,-2725.0,0.9296229338842975,-24.995249810516704,1.2028254076945002,-0.8987580044784271,99,35.35353535353536,-11.429331526406745,-0.11544779319602773,-1800.0,0.7603195739014648,-11.572188669263888,0.7017743118432788,-0.5900234826380574
2015,200,41.0,-13.901998656276255,-0.06950999328138127,-8215.0,0.8397229538581602,-23.093909759022385,1.1937707787027412,-0.9473830721178055,106,30.18867924528302,-16.909247309747155,-0.15952120103535053,-3425.0,0.6638861629048086,-18.05863349105385,0.7128411431891192,-0.5367589715107969
2016,216,39.81481481481482,-2.1596564254347843,-0.009998409377012891,-2690.0,0.9411442949349087,-25.64702518310655,1.279046316589866,-0.8627510742474096,95,41.05263157894737,-3.0195020439820324,-0.03178423204191613,-1050.0,0.8539638386648123,-11.173092956925663,0.7863135241724035,-0.6124678088491959
2017,211,41.23222748815166,-1.5674226828199447,-0.007428543520473671,-2175.0,0.943849231960759,-15.317556338313562,1.1828340647055342,-0.8425321476790436,109,33.02752293577982,3.707368261601946,0.034012552858733454,45.0,1.0054911531421598,-9.5793517688982,1.1894103406817342,-0.5432139444852845
