window,variant,trades,win%,netR,avgR,$,PF,maxDD_R
2016-2026,FCF dynamic exit,1108,38.35740072202166,-27.273990641555297,-0.024615515019454238,-16550.0,0.946040233445274,-41.8291938796804
2016-2026,"FCF same entry, hold close",1108,39.25992779783393,18.613338164486436,0.01679904166469895,54720.0,1.0935680514350692,-52.766687824128454
2016-2026,Samir ORB on FCF-qualified days,1108,50.09025270758123,209.88799945853293,0.18942960239939796,298325.0,1.465079117624133,-16.67929155705268
2021-2026,FCF dynamic exit,610,40.49180327868853,-5.533429595107224,-0.009071196057552825,-2640.0,0.9885773624091381,-29.291649470122685
2021-2026,"FCF same entry, hold close",610,41.967213114754095,46.11243009786777,0.07559414770142257,76660.0,1.175584058634906,-41.920202881061535
2021-2026,Samir ORB on FCF-qualified days,610,53.60655737704918,166.0219377769974,0.27216711110983177,293835.0,1.6303578324108636,-8.279076259766944
2024-2026,FCF dynamic exit,277,37.545126353790614,-24.30638480148126,-0.08774868159379516,-31415.0,0.7534531470726731,-29.291649470122685
2024-2026,"FCF same entry, hold close",277,40.794223826714806,-16.02271827559594,-0.05784374828734996,-5260.0,0.9770930865541644,-41.920202881061506
2024-2026,Samir ORB on FCF-qualified days,277,51.624548736462096,63.362296818507005,0.22874475385742601,125880.0,1.5400952503539709,-7.793756260364972
