year,trades,win%,netR,avgR,$,PF,maxDD_R
2023,212,16.50943396226415,-9.372952348270271,-0.044212039378633355,-7745.0,0.9168813050010732,-15.717243530816418
2024,233,22.746781115879827,16.053491515614176,0.06889910521722822,29280.0,1.2603939703855218,-9.98006244013132
2025,219,24.65753424657534,9.40288753538277,0.04293555952229576,31290.0,1.2441574655690375,-5.500293045801959
2026,114,21.929824561403507,9.005925289906669,0.07899934464830412,-6560.0,0.9354108206567223,-7.0963296039952715
